,Car_Name,Brand_Name,Engine Capacity,Category,Body Condition,model Year,Milage,Fuel Type,Transmission,Color,City Registered,Price
0,Alsvin,Changan,1500,Sedan,Good,2022,57000,Petrol,Automatic,Steller White,Islamabad,38.5
1,Alsvin,Changan,1500,Sedan,Excellent,2022,23000,Petrol,Automatic,Steller White,Punjab,36.95
2,Alsvin,Changan,1500,Sedan,Good,2022,11900,Petrol,Automatic,Galaxy Black,Islamabad,36.9
3,Alsvin,Changan,1500,Sedan,Fair,2021,40000,Petrol,Automatic,Silver,Islamabad,37.5
4,Alsvin,Changan,1500,Sedan,Good,2022,16000,Petrol,Automatic,Black,Karachi,37.5
5,Alsvin,Changan,1500,Sedan,Fair,2021,37426,Petrol,Automatic,Lunar Silver,Punjab,39.0
6,Alsvin,Changan,1500,Sedan,Good,2022,20589,Petrol,Manual,White,Punjab,34.9
7,Alsvin,Changan,1500,Sedan,Excellent,2022,33719,Petrol,Automatic,Black,Sindh,40.0
8,Alsvin,Changan,1500,Sedan,Good,2022,34410,Petrol,Automatic,Lunar Silver,Islamabad,35.5
9,Alsvin,Changan,1500,Sedan,Excellent,2021,27000,Petrol,Automatic,Silver,Punjab,36.95
10,Alsvin,Changan,1500,Sedan,Excellent,2022,35000,Petrol,Automatic,White,Islamabad,42.5
11,Alsvin,Changan,1500,Sedan,Good,2022,4400,Petrol,Automatic,Lunar Silver,Punjab,38.0
12,Alsvin,Changan,1300,Sedan,Good,2021,32000,Petrol,Manual,White,Lahore,30.4
13,Alsvin,Changan,1500,Sedan,Excellent,2021,63000,Petrol,Automatic,Steller White,Islamabad,36.0
14,Alsvin,Changan,1500,Sedan,Good,2021,62000,Petrol,Automatic,Steller White,Punjab,34.5
15,Alsvin,Changan,1500,Sedan,Excellent,2022,42000,Petrol,Automatic,Black,Sindh,35.5
16,Alsvin,Changan,1500,Sedan,Excellent,2021,62500,Petrol,Automatic,Steller White,Islamabad,36.5
17,Alsvin,Changan,1500,Sedan,Excellent,2021,33000,Petrol,Automatic,Steller White,Punjab,36.5
18,Alsvin,Changan,1500,Sedan,Good,2022,14000,Petrol,Automatic,Lunar Silver,Islamabad,40.5
19,Alsvin,Changan,1500,Sedan,Excellent,2021,22000,Petrol,Automatic,Grey,Sindh,38.0
20,Alsvin,Changan,1500,Sedan,Excellent,2022,28465,Petrol,Automatic,Steller White,Punjab,37.95
21,Alsvin,Changan,1500,Sedan,Excellent,2022,14300,Petrol,Automatic,Space Gray,Punjab,40.0
22,Alsvin,Changan,1500,Sedan,Excellent,2022,35000,Petrol,Automatic,White,Islamabad,40.0
23,Alsvin,Changan,1500,Sedan,Excellent,2021,29000,Petrol,Manual,White,Punjab,31.5
